,UserId,ProductId,Rating,Timestamp,Year,Month
0,A39HTATAQ9V7YF,0MHc77B9cqN5PY8xnvu0,5,1369699200,2019,5
1,A3JM6GV9MNOF9X,0MHc77B9cqN5PY8xnvu0,3,1355443200,2018,12
2,A1Z513UWSAAO0F,0MHc77B9cqN5PY8xnvu0,5,1404691200,2020,7
3,A1WMRR494NWEWV,0MHc77B9cqN5PY8xnvu0,4,1382572800,2019,10
4,A3IAAVS479H7M7,0MHc77B9cqN5PY8xnvu0,1,1274227200,2016,5
5,AKJHHD5VEH7VG,0MHc77B9cqN5PY8xnvu0,5,1404518400,2020,7
6,A1BG8QW55XHN6U,0MHc77B9cqN5PY8xnvu0,5,1371945600,2019,6
7,A22VW0P4VZHDE3,0MHc77B9cqN5PY8xnvu0,5,1373068800,2019,7
8,A3V3RE4132GKRO,0MHc77B9cqN5PY8xnvu0,5,1401840000,2020,6
9,A327B0I7CYTEJC,0MHc77B9cqN5PY8xnvu0,4,1389052800,2020,1
10,A1BG8QW55XHN6U,0MHc77B9cqN5PY8xnvu0,5,1372032000,2019,6
11,AIFAAVTUYHEHB,0MHc77B9cqN5PY8xnvu0,4,1378252800,2019,9
12,AVOGV98AYOFG2,0MHc77B9cqN5PY8xnvu0,5,1372118400,2019,6
13,A22VW0P4VZHDE3,0MHc77B9cqN5PY8xnvu0,5,1371686400,2019,6
14,AVOGV98AYOFG2,0MHc77B9cqN5PY8xnvu0,5,1372118400,2019,6
15,A6R426V4J7AOM,0MHc77B9cqN5PY8xnvu0,5,1373414400,2019,7
16,A22VW0P4VZHDE3,0MHc77B9cqN5PY8xnvu0,5,1372896000,2019,7
17,AKGB62WGF35J8,0MHc77B9cqN5PY8xnvu0,5,1372896000,2019,7
18,A22VW0P4VZHDE3,0MHc77B9cqN5PY8xnvu0,5,1373068800,2019,7
19,A1BG8QW55XHN6U,0MHc77B9cqN5PY8xnvu0,5,1372291200,2019,6
20,A1BG8QW55XHN6U,0MHc77B9cqN5PY8xnvu0,5,1372291200,2019,6
21,A22VW0P4VZHDE3,0MHc77B9cqN5PY8xnvu0,5,1372896000,2019,7
22,A22VW0P4VZHDE3,0MHc77B9cqN5PY8xnvu0,5,1372896000,2019,7
23,A3A4C2K3TWDAO5,0MHc77B9cqN5PY8xnvu0,1,1378425600,2019,9
24,A3FV2Q7WPZMQPV,0MHc77B9cqN5PY8xnvu0,5,1375488000,2019,8
25,A22VW0P4VZHDE3,0MHc77B9cqN5PY8xnvu0,5,1372896000,2019,7
26,A1RXI3A1E99112,0MHc77B9cqN5PY8xnvu0,5,1405296000,2020,7
27,A26QL1FBQO9C0E,0MHc77B9cqN5PY8xnvu0,5,1392076800,2020,2
28,A19KEEVZYO1KO6,0MHc77B9cqN5PY8xnvu0,4,1388707200,2020,1
29,A1F6HRR58TQ2R0,0MHc77B9cqN5PY8xnvu0,5,1394928000,2020,3
30,AVQP6PO1NK0IJ,0MHc77B9cqN5PY8xnvu0,1,1389657600,2020,1
31,A32IWHU4TUEQZR,0MHc77B9cqN5PY8xnvu0,4,1383523200,2019,11
32,ASPJCWRXUOYYY,0MHc77B9cqN5PY8xnvu0,5,1392681600,2020,2
33,A1LAW520BT5AM0,0MHc77B9cqN5PY8xnvu0,1,1392422400,2020,2
34,A3SWQ2QQ7JBPFA,0MHc77B9cqN5PY8xnvu0,5,1402790400,2020,6
35,A2D7CPCZH5VFVZ,0MHc77B9cqN5PY8xnvu0,1,1396742400,2020,4
36,A274NIJWOQWE30,0MHc77B9cqN5PY8xnvu0,5,1385251200,2019,11
37,A2OMU0R0VM5O9I,0MHc77B9cqN5PY8xnvu0,1,1397606400,2020,4
38,A2YFDS6DYGFLVQ,0MHc77B9cqN5PY8xnvu0,5,1405036800,2020,7
39,AKA7T9TPISJ26,0MHc77B9cqN5PY8xnvu0,1,1399680000,2020,5
40,AN33X95J5460X,0MHc77B9cqN5PY8xnvu0,4,1395187200,2020,3
41,A2UEOW698J0SSR,0MHc77B9cqN5PY8xnvu0,5,1397779200,2020,4
